,Candidate Deidentified ID,Work Company Name Deidentified ID,Work History Title,Work History Start Year,Work History End Year,Work History Start Month,Work History End Month
1595,534,1204.0,Data Analyst,2021.0,2022.0,5.0,12.0
1596,534,1205.0,Data Analyst,2021.0,2021.0,1.0,4.0
1597,87,1206.0,Technical business analyst,2019.0,2021.0,8.0,6.0
1598,87,1207.0,,2017.0,2019.0,9.0,8.0
1599,263,1208.0,Online Data Analyst,2024.0,,1.0,
1600,263,1209.0,Technical Support Analyst,2024.0,,4.0,
1601,335,,,,,,
1602,23,,,,,,
1603,779,1210.0,Business Intelligence Intern,2021.0,2021.0,2.0,5.0
1604,779,1211.0,Data Analyst,2022.0,2022.0,9.0,12.0
1605,779,1212.0,,2023.0,2023.0,4.0,6.0
1606,365,1213.0,Business Analyst,2017.0,2019.0,5.0,4.0
1607,365,969.0,Senior Business Analyst,2021.0,,5.0,
1608,365,1214.0,Senior Business Analyst,2019.0,2021.0,5.0,4.0
1609,222,,,,,,
1610,475,1215.0,Application Development Analyst,2021.0,2021.0,9.0,12.0
1611,475,1216.0,,2022.0,2022.0,5.0,7.0
1612,475,1217.0,,2022.0,2022.0,8.0,9.0
1613,475,1218.0,,2022.0,2022.0,11.0,12.0
1614,475,97.0,Data Analyst,2018.0,2021.0,8.0,8.0
1615,475,1219.0,,2023.0,2023.0,8.0,10.0
1616,475,1220.0,Data Analyst,2022.0,2023.0,1.0,4.0
1617,541,1221.0,BI Developer,2022.0,2022.0,6.0,8.0
1618,785,497.0,Data Analyst,2022.0,2023.0,1.0,6.0
1619,785,977.0,Data Analyst,2020.0,2021.0,12.0,4.0
1620,756,1222.0,Test Engineer,2016.0,2018.0,7.0,8.0
1621,756,1222.0,Business Analyst,2018.0,2020.0,8.0,2.0
1622,756,1223.0,Business Analyst,2020.0,2021.0,2.0,5.0
1623,41,1224.0,Analytics Solutions Engineer Co-op,2022.0,2023.0,9.0,4.0
1624,544,1225.0,Data Analyst,2017.0,2019.0,1.0,3.0
1625,544,1226.0,Sr. Data Analyst,2019.0,2021.0,4.0,8.0
1626,544,391.0,IT Analyst,2021.0,2023.0,9.0,5.0
1627,544,1227.0,Business Data Analyst,2023.0,,12.0,
1628,115,1228.0,Data Scientist,2021.0,2022.0,8.0,11.0
1629,115,1229.0,Business Intelligence & Reporting Analyst,2022.0,2023.0,12.0,8.0
1630,115,1230.0,Data Entry Specialist,2020.0,2021.0,3.0,3.0
1631,563,279.0,Data scientist,2011.0,2015.0,,
1632,563,337.0,Research associate,2009.0,2011.0,,
1633,563,1231.0,Researcher,2002.0,2006.0,,
1634,563,1232.0,Data scientist,2007.0,2009.0,,
1635,563,1233.0,Senior data analyst,2016.0,2017.0,,
1636,563,1234.0,Research scientist,2015.0,2016.0,,
1637,31,,,,,,
1638,258,,,,,,
1639,36,1235.0,Business Data Analyst,2020.0,2021.0,1.0,5.0
1640,36,1236.0,Project Manager Assistant,2019.0,2019.0,1.0,4.0
1641,36,361.0,Business Data Analyst,2022.0,2023.0,5.0,4.0
1642,36,1237.0,Accounting Assistant,2018.0,2018.0,5.0,8.0
1643,36,1238.0,Data Analyst,2021.0,2021.0,8.0,9.0
1644,604,1239.0,DATA ANALYST,2016.0,2018.0,4.0,10.0
1645,604,1240.0,OPERATIONS ANALYST,2022.0,,12.0,
1646,604,1241.0,DATA ANALYST,2018.0,2022.0,12.0,5.0
1647,189,1242.0,Business Analyst,2020.0,2021.0,1.0,11.0
1648,189,1243.0,Business Analyst,2021.0,2022.0,11.0,5.0
1649,189,1244.0,Business Analyst,2022.0,2023.0,5.0,3.0
1650,18,1245.0,SENIOR BUSINESS ANALYST,2021.0,,4.0,
1651,18,1246.0,BUSINESS ANALYST,2016.0,2018.0,8.0,6.0
1652,18,1213.0,BUSINESS ANALYST,2015.0,2016.0,10.0,7.0
1653,18,1247.0,SENIOR BUSINESS ANALYST,2018.0,2021.0,7.0,4.0
1654,416,,,,,,
1655,67,303.0,Business Systems Analyst,2022.0,2022.0,5.0,8.0
1656,67,1248.0,Business Analyst,2021.0,2021.0,5.0,8.0
1657,67,1249.0,Customer Service Representative,2020.0,2020.0,1.0,8.0
1658,332,101.0,Systems Analyst,2021.0,2021.0,2.0,5.0
1659,332,1250.0,Expert,2021.0,2022.0,7.0,2.0
1660,332,1251.0,Operations Analyst,2023.0,,1.0,
1661,161,1252.0,Decision Support Analyst,2020.0,2022.0,9.0,3.0
1662,161,1253.0,SQL Developer,2013.0,2014.0,6.0,2.0
1663,161,1254.0,SQL Developer,2019.0,2020.0,9.0,3.0
1664,161,1255.0,ETL & Report Developer,2014.0,2015.0,3.0,9.0
1665,161,1161.0,Server Developer,2015.0,2018.0,10.0,1.0
1666,57,1256.0,Data Analyst,2021.0,2022.0,10.0,3.0
1667,57,789.0,Business Analyst,2021.0,2021.0,6.0,9.0
1668,57,1208.0,Online Data Analyst,2023.0,,11.0,
1669,428,1257.0,"Business System Analyst, Operations",2021.0,,3.0,
1670,428,1258.0,Business System Analyst,2018.0,2021.0,6.0,3.0
1671,460,1259.0,Computational Neuroscience Graduate Student Researcher,2021.0,2023.0,9.0,5.0
1672,460,926.0,Data Analyst,2024.0,2024.0,4.0,6.0
1673,610,1260.0,Business Analyst,2019.0,2019.0,5.0,6.0
